feature,outer_fold_count,mean_z_score,mean_abs_z_score,positive_fold_fraction,mean_ranking_score,best_rank,mean_rank,mean_document_frequency,mean_source_sign_agreement,mean_subsample_sign_agreement,mean_subsample_top_pool_frequency,direction_consistency,stable_relevance_score
negative excludes squamous,5,-0.4255724606192063,0.4255724606192063,0.0,0.0964840289373637,5169,21147.8,508.0,0.9714285714285713,0.6399999999999999,0.0,1.0,0.0964840289373637
68. - mother,5,-0.5342523743445933,0.7063732117602057,0.4,0.1607833873165345,7101,16065.8,181.6,0.6285714285714286,0.8133333333333332,0.0,0.6,0.09647003238992069
amplification can,5,-0.439779508501582,0.439779508501582,0.0,0.09646692979953925,14011,19479.2,192.0,1.0,0.7733333333333333,0.0,1.0,0.09646692979953925
deficits no,5,0.5850827197957376,0.5850827197957376,1.0,0.09645404787691275,10282,19664.2,83.2,0.34285714285714286,0.7866666666666667,0.0,1.0,0.09645404787691275
segment vii and,5,-0.4800853165258818,0.5550620789723364,0.2,0.12055650022851283,10175,17917.4,80.8,0.7714285714285715,0.7866666666666666,0.0,0.8,0.09644520018281028
co-existing,5,-0.4231045193429911,0.5361863527470339,0.2,0.12054633911112882,11722,17670.6,57.6,0.9428571428571428,0.7866666666666667,0.0,0.8,0.09643707128890305
ct demonstrates,5,0.4213079205732161,0.4213079205732161,1.0,0.09643362025294751,10794,19991.2,109.6,0.9714285714285713,0.72,0.0,1.0,0.09643362025294751
both lesions,5,-0.17659993802326784,0.7010728202691212,0.6,0.16071683030912964,7988,15649.6,81.6,0.9714285714285713,0.82,0.0,0.6,0.09643009818547778
palpable,5,-0.5066390783655881,0.5571210131996022,0.2,0.12051077316377175,11270,17766.4,308.0,0.8285714285714286,0.8066666666666666,0.0,0.8,0.0964086185310174
alterations >=,4,-0.6157413040988244,0.6157413040988244,0.0,0.12049891413022962,6392,18942.25,65.5,0.4642857142857143,0.7333333333333334,0.0,1.0,0.09639913130418369
agent.,5,-0.46654364317015834,0.5197471497306486,0.2,0.12049698720055746,7232,18993.2,132.0,0.7428571428571429,0.78,0.0,0.8,0.09639758976044598
a treatment,5,-0.4848985503658903,0.5543539695857718,0.2,0.12048721282129775,8705,18084.6,68.0,0.8857142857142858,0.7733333333333333,0.0,0.8,0.09638977025703821
norm plt,5,0.43299069658675504,0.5464624008276446,0.8,0.12046870114783899,3271,19755.6,76.0,0.7428571428571429,0.7266666666666667,0.0,0.8,0.09637496091827119
3. hematologic,5,0.4409458950542528,0.7074348118269815,0.6,0.16060481684445935,3414,16545.4,76.0,0.6,0.86,0.006666666666666666,0.6,0.0963628901066756
sections reveal,5,-0.4687865486814295,0.5275248011448475,0.2,0.12045301762265241,10081,18070.4,588.0,0.8285714285714285,0.8133333333333332,0.0,0.8,0.09636241409812193
upper lobe a,5,0.11566314811404206,0.5262998309066456,0.8,0.12044489627162865,9374,18678.4,129.6,0.6,0.8133333333333332,0.0,0.8,0.09635591701730292
lung adenocarcinoma left,5,-0.48606582567680984,0.5154696098146878,0.2,0.12043572511174602,9229,18640.2,111.2,0.8571428571428571,0.76,0.0,0.8,0.09634858008939683
molecular profiling ngs,5,0.4735191502200527,0.4735191502200527,1.0,0.0963478566105526,11771,19805.2,187.2,0.6,0.8066666666666666,0.0,1.0,0.0963478566105526
plt 185,5,0.0898082883124673,0.5029569959259613,0.8,0.12041889889669584,8896,18769.2,108.8,0.9428571428571428,0.7666666666666667,0.0,0.8,0.09633511911735668
which may,5,0.43443058500022647,0.5567451796564491,0.8,0.12040363016816787,8042,17877.8,169.6,0.9428571428571428,0.7333333333333333,0.0,0.8,0.0963229041345343
adequate sleep,5,-0.4392366367530208,0.4392366367530208,0.0,0.09632003769821684,13379,19313.0,77.6,1.0,0.7,0.0,1.0,0.09632003769821684
electronic,5,0.521327859614355,0.6023363553351941,0.8,0.12037867425560847,8297,18053.4,420.0,0.6571428571428571,0.8,0.0,0.8,0.09630293940448678
relative to diploid,5,-0.5722652221928997,0.5792524055938746,0.2,0.12037352258668173,7421,18705.8,70.4,0.7142857142857142,0.8133333333333332,0.0,0.8,0.09629881806934538
------ --------,5,0.4454492756758707,0.44544927567587084,1.0,0.09629308038524435,9694,19711.8,659.2,0.9428571428571428,0.74,0.0,1.0,0.09629308038524435
continue current regimen,5,0.4272507578443657,0.4272507578443657,1.0,0.09627876216045257,10483,19832.6,162.4,0.8285714285714285,0.7533333333333333,0.0,1.0,0.09627876216045257
mediastinal nodal involvement,5,0.4913617382428085,0.5056520494545187,0.8,0.1203339990529692,11425,18370.2,194.4,0.8571428571428571,0.8133333333333332,0.0,0.8,0.09626719924237537
a modest likelihood,4,-0.6420452141056483,0.6747462086327788,0.25,0.1604180599668686,7239,16111.5,64.0,0.7142857142857143,0.7916666666666667,0.0,0.75,0.09625083598012116
subcutaneously,5,0.4531524267127273,0.4531524267127273,1.0,0.0962496471070726,11314,19865.6,140.0,0.8,0.76,0.0,1.0,0.0962496471070726
70 100 social,5,0.3864063989077381,0.6790976279203889,0.6,0.1604107507607369,8091,15460.8,261.6,0.9714285714285713,0.8533333333333333,0.0,0.6,0.09624645045644215
at next visit,5,-0.33502846284346893,0.5095608756768633,0.2,0.12029738899016384,9307,17955.4,135.2,1.0,0.7666666666666666,0.006666666666666666,0.8,0.09623791119213108
concern for primary,5,-0.5976224508799006,0.5976224508799006,0.0,0.09621373848162865,11147,19851.0,175.2,0.22857142857142856,0.8466666666666667,0.0,1.0,0.09621373848162865
pelvic or,4,0.5466800249963,0.5466800249963,1.0,0.12026323028661906,12902,17261.0,68.75,0.9642857142857143,0.7916666666666666,0.0,1.0,0.09621058422929525
lobe mass 5.0,5,0.565008147885597,0.5731017954107214,0.8,0.12026111545412839,7940,18355.4,52.8,0.6857142857142857,0.82,0.0,0.8,0.09620889236330271
100 k,5,-0.6383929189086016,0.6383929189086017,0.0,0.0962057393056199,12199,19591.6,184.8,0.22857142857142856,0.8266666666666668,0.0,1.0,0.0962057393056199
schedule. -,5,0.11712490556099937,0.5367992091004108,0.8,0.12025408633304717,8891,17661.6,92.8,0.9714285714285715,0.7666666666666666,0.0,0.8,0.09620326906643774
right upper-lobe,5,0.46967384313205673,0.5676697564309044,0.8,0.1202466317127441,6837,18052.8,94.4,0.8285714285714285,0.7933333333333333,0.0,0.8,0.09619730537019529
care services for,5,-0.5036010967310867,0.5884232335212956,0.2,0.12024368422390108,8396,18050.6,62.4,0.6571428571428571,0.8133333333333332,0.0,0.8,0.09619494737912088
without assistance.,5,-0.47951943535534963,0.5514191372824547,0.2,0.12020673100817655,9895,17660.4,73.6,0.9428571428571428,0.78,0.0,0.8,0.09616538480654124
biopsy left lower,5,-0.46704463590564904,0.5376669697079142,0.2,0.12017774139532589,12496,17466.0,79.2,0.9714285714285713,0.76,0.0,0.8,0.09614219311626071
3. pd-l1 expression,3,-0.749639230855208,0.749639230855208,0.0,0.16020654713169244,9487,14769.333333333334,65.66666666666667,0.8571428571428571,0.8777777777777778,0.0,1.0,0.09612392827901546
low-normal . -,5,0.5539947900328304,0.7024123915224043,0.6,0.1601979242699983,3623,16880.2,132.8,0.6857142857142857,0.7866666666666667,0.0,0.6,0.09611875456199898
oncology visit diagnosis,5,0.353928185792848,0.5770632882750241,0.8,0.12013885657426449,10330,17419.6,748.8,0.8,0.8,0.0,0.8,0.09611108525941159
been ordered,5,0.08114739493340672,0.6377761044445801,0.6,0.1601804331141374,4575,17026.2,104.0,0.8,0.82,0.006666666666666666,0.6,0.09610825986848244
and main bronchi,5,0.3741909225373411,0.6933688709378382,0.6,0.16017406427676223,7547,15192.6,108.0,0.9142857142857143,0.8533333333333333,0.0,0.6,0.09610443856605734
effects and,5,0.5192207827409724,0.5595956149299887,0.8,0.12012825504346838,10377,17996.0,119.2,0.8285714285714285,0.78,0.0,0.8,0.09610260403477472
l 150-400,5,0.4826295754378284,0.5854324509758764,0.8,0.12011876704779512,10643,17442.8,544.8,0.7428571428571429,0.8533333333333333,0.0,0.8,0.0960950136382361
2+,5,-0.41832216841871056,0.41832216841871067,0.0,0.09609102480400092,10596,20602.0,528.0,0.9428571428571428,0.74,0.006666666666666666,1.0,0.09609102480400092
elsewhere,5,-0.28045836548015723,0.565149891515112,0.2,0.12007831118032172,13626,17201.2,152.0,0.9428571428571428,0.8333333333333334,0.0,0.8,0.09606264894425738
hydration and balanced,5,-0.4217566898240383,0.42175668982403824,0.0,0.09605555006423341,6793,20537.2,130.4,0.9142857142857143,0.7133333333333333,0.0,1.0,0.09605555006423341
non-tender no organomegaly,5,0.4461973897569048,0.4461973897569048,1.0,0.09605093668661616,10762,20285.6,103.2,0.5714285714285714,0.8133333333333332,0.0,1.0,0.09605093668661616
of two,5,-0.42390752897410505,0.547482601005492,0.2,0.12005540225214677,7487,18573.0,94.4,0.6285714285714286,0.8266666666666668,0.0,0.8,0.09604432180171742
fracture. -,5,0.548808093183675,0.637032679185475,0.8,0.12004779352500428,8830,17861.4,87.2,0.6,0.8133333333333332,0.0,0.8,0.09603823482000343
1.3 cm,5,0.4435301258742327,0.4435301258742327,1.0,0.09603741275275259,12939,19802.2,152.8,0.9428571428571428,0.7666666666666667,0.0,1.0,0.09603741275275259
new or,5,-0.45445054984830147,0.4544505498483016,0.0,0.09603608067629706,12274,19365.2,123.2,0.8857142857142858,0.7466666666666667,0.0,1.0,0.09603608067629706
all discussions,2,1.0021357508173014,1.0021357508173014,1.0,0.2400845068223162,4639,11268.5,62.5,1.0,0.9333333333333333,0.0,1.0,0.09603380272892648
------------ carboplatin,5,-0.49149957351119944,0.49739750357550444,0.2,0.12003820576915067,10527,18540.8,65.6,0.8,0.7533333333333333,0.006666666666666666,0.8,0.09603056461532054
a 62-year-old man,5,-0.3643941429959314,0.5857559577303514,0.2,0.12003338912192538,11014,17585.6,60.0,0.8285714285714286,0.8,0.0,0.8,0.09602671129754031
decreased from 5.1,5,0.29074964392334784,0.6727033071674745,0.6,0.16004322875771967,8031,15650.6,54.4,0.8857142857142858,0.8466666666666667,0.0,0.6,0.09602593725463181
checkpoint blockade,5,0.3283991437893792,0.5343260152358704,0.8,0.1200120406959958,14323,17155.4,331.2,0.9428571428571428,0.8400000000000001,0.0,0.8,0.09600963255679665
helps,5,0.38541903674367495,0.5283762030513425,0.8,0.12001162746355742,12507,17871.8,69.6,0.9714285714285715,0.7733333333333333,0.0,0.8,0.09600930197084595
or braf alterations.,5,-0.4328570031451183,0.5312888752026523,0.2,0.12000661972063861,11113,17661.0,109.6,0.9428571428571428,0.78,0.0,0.8,0.0960052957765109
mg dl albumin,5,-0.0958223795825003,0.5257413564389471,0.2,0.11999341188153104,8605,18844.0,320.8,0.8285714285714285,0.7333333333333333,0.0,0.8,0.09599472950522484
2. no,5,-0.2521483829936625,0.5711541335685165,0.2,0.11998095817722584,13270,17398.8,192.0,0.9142857142857143,0.8266666666666668,0.0,0.8,0.09598476654178068
course,5,-0.3657455857681483,0.6038333623639545,0.2,0.11996724099185636,10317,18005.8,495.2,0.48571428571428565,0.8800000000000001,0.0,0.8,0.0959737927934851
at the time,5,-0.38576942592227464,0.523778453671559,0.2,0.1199515085212995,8638,18310.4,384.8,0.8,0.8,0.0,0.8,0.09596120681703961
1.25 mm collimation,5,-0.2391409345418225,0.6822492919576824,0.4,0.15993409360743402,10629,14535.8,72.0,1.0,0.8933333333333333,0.0,0.6,0.0959604561644604
check-in,5,-0.4616343118599227,0.5794637280970844,0.2,0.11994641200121474,10772,17827.0,181.6,0.6571428571428571,0.8266666666666665,0.006666666666666666,0.8,0.0959571296009718
monitoring repeat,5,0.4460982282474431,0.4460982282474431,1.0,0.09594726015639221,8559,20329.0,127.2,0.8285714285714285,0.62,0.0,1.0,0.09594726015639221
maintain current,5,0.3275210142328363,0.6741909092625391,0.6,0.15991059650143813,4731,16732.2,85.6,0.8285714285714285,0.8133333333333332,0.0,0.6,0.09594635790086288
- albuterol,5,-0.3756185819456211,0.6342557688853058,0.2,0.11993009475638736,14372,17423.8,383.2,0.5428571428571429,0.8733333333333334,0.0,0.8,0.09594407580510989
4. met,5,-0.5622991617997902,0.5732924009048413,0.2,0.11992781447867504,3943,19913.2,137.6,0.5428571428571429,0.7733333333333333,0.006666666666666666,0.8,0.09594225158294004
pulmonary emboli,5,-0.44608982275867726,0.5976109908766494,0.2,0.11990648046214587,13914,17275.0,69.6,0.8571428571428571,0.8,0.0,0.8,0.0959251843697167
limits. no pericardial,5,-0.36234978013581787,0.5251011088508539,0.2,0.11987868062188527,13437,17653.2,122.4,0.9428571428571428,0.8266666666666668,0.0,0.8,0.09590294449750822
what,5,0.30027833675549476,0.603824770979737,0.8,0.11987642514823324,12590,17252.2,92.8,0.8,0.8133333333333332,0.0,0.8,0.0959011401185866
6.2 ng ml,5,-0.39237184341037834,0.5235268109658264,0.2,0.11987526112368736,6758,18051.2,76.0,0.9428571428571428,0.8133333333333332,0.0,0.8,0.0959002088989499
l normal .,2,-0.9088669147307498,0.9088669147307498,0.0,0.23974055089001348,3702,12150.0,53.0,1.0,0.8666666666666667,0.016666666666666666,1.0,0.0958962203560054
detected - wild-type,5,-0.41695767760676555,0.5688907294246655,0.2,0.11986270558978922,12478,17487.4,23.2,0.9714285714285713,0.7666666666666666,0.0,0.8,0.09589016447183138
170,5,0.5046791815192038,0.5392045893710115,0.8,0.11982249034080761,13339,17700.6,85.6,0.9428571428571428,0.8066666666666666,0.0,0.8,0.09585799227264609
- multidetector,5,0.32044046895370526,0.6825437072576446,0.6,0.1597456708162567,7642,15764.2,187.2,0.8285714285714286,0.8533333333333333,0.0,0.6,0.09584740248975403
normal appearance,3,0.22723647553571857,0.9732780804874439,0.6666666666666666,0.23960333298041614,6266,10343.0,60.666666666666664,1.0,0.9444444444444445,0.0,0.6666666666666666,0.09584133319216645
bone pain -,5,0.3163410717861922,0.6698973270291957,0.6,0.15973073629507123,10432,15515.2,97.6,0.9714285714285713,0.8066666666666666,0.0,0.6,0.09583844177704273
quadrant,5,0.5055668216813343,0.5067702627899632,0.8,0.1197789421637129,8132,18635.4,118.4,0.8285714285714286,0.7466666666666667,0.0,0.8,0.09582315373097033
pneumococcal vaccine pcv13,2,1.0026017714069297,1.0026017714069297,1.0,0.2395096894084786,5742,10585.0,59.5,0.9285714285714286,0.9333333333333333,0.0,1.0,0.09580387576339144
- l3,5,0.4350045224233642,0.4350045224233642,1.0,0.09580028715671009,14865,19272.2,72.0,0.9714285714285713,0.7666666666666666,0.0,1.0,0.09580028715671009
symptomatic burden,5,-0.011564864088104355,0.7203458215040098,0.4,0.15966563845868623,6008,16303.6,76.8,0.6857142857142857,0.8133333333333332,0.0,0.6,0.09579938307521173
this represents,5,-0.4083984392929998,0.4083984392929998,0.0,0.09579647858811549,11692,20240.4,92.0,0.9142857142857143,0.7333333333333333,0.0,1.0,0.09579647858811549
of baseline,4,-0.510271463804481,0.6782101728920722,0.25,0.1596148023122638,7164,15572.5,66.25,0.9285714285714286,0.85,0.0,0.75,0.09576888138735828
computed,5,-0.5502360579383124,0.6345417985453917,0.2,0.11970613747544642,5982,18561.6,418.4,0.48571428571428577,0.8466666666666667,0.0,0.8,0.09576490998035714
counseling - reviewed,5,-0.043059557675450846,0.686585396522809,0.6,0.159603328013567,4756,15531.4,75.2,0.8285714285714285,0.8400000000000001,0.013333333333333332,0.6,0.0957619968081402
progression after,5,0.21547498044800495,0.5340870357426717,0.8,0.11970008862494283,12402,17433.0,139.2,0.8571428571428571,0.8733333333333334,0.0,0.8,0.09576007089995427
residual soft-tissue,2,-1.0401116216971418,1.0401116216971418,0.0,0.23937861150089051,7847,9795.5,63.0,0.8571428571428572,0.9666666666666667,0.0,1.0,0.0957514446003562
- heart size,5,-0.4639869306399623,0.5108397357314087,0.2,0.11967349479709163,9615,18103.6,208.0,1.0,0.78,0.0,0.8,0.09573879583767331
crackles bilaterally,5,0.5211522266574103,0.5269571747831568,0.8,0.11967090202585093,10556,18226.6,94.4,0.7428571428571429,0.8,0.0,0.8,0.09573672162068075
other - no,5,0.5015505855375038,0.5588375143221718,0.8,0.11966713098196684,9444,17799.8,440.8,0.8857142857142858,0.8,0.0,0.8,0.09573370478557347
100 nausea 35,4,0.6562004511220884,0.6562004511220882,1.0,0.11964447591594159,9563,17733.75,69.25,0.5357142857142857,0.8416666666666667,0.0,1.0,0.09571558073275327
nausea 35 100,4,0.6562004511220884,0.6562004511220882,1.0,0.11964447591594159,9562,17733.25,69.25,0.5357142857142857,0.8416666666666667,0.0,1.0,0.09571558073275327
increase of the,1,-1.740149657086056,1.740149657086056,0.0,0.4785411556986654,2511,2511.0,55.0,1.0,1.0,0.03333333333333333,1.0,0.09570823113973308
bone pain no,5,-0.3898808261981751,0.7419705392174784,0.4,0.1595042228997809,7407,15280.8,70.4,0.7142857142857142,0.9,0.006666666666666666,0.6,0.09570253373986853
date of procedure,5,-0.4281479911040673,0.4281479911040673,0.0,0.09570062461393691,8542,20779.0,98.4,0.6,0.7266666666666667,0.0,1.0,0.09570062461393691
of service to,5,0.5882749962893774,0.6561637503166446,0.8,0.1196107063381497,8330,18217.2,125.6,0.5142857142857142,0.8133333333333332,0.0,0.8,0.09568856507051976
service to be,5,0.5882749962893774,0.6561637503166446,0.8,0.1196107063381497,8331,18218.2,125.6,0.5142857142857142,0.8133333333333332,0.0,0.8,0.09568856507051976
improves with,5,-0.31448401383772906,0.5335459804806242,0.2,0.11958680832572981,9104,18289.6,86.4,0.8285714285714286,0.7466666666666667,0.0,0.8,0.09566944666058386
results cbc,5,-0.5006259609498553,0.5006259609498553,0.0,0.09566724338651529,11341,19860.4,180.0,0.45714285714285713,0.7666666666666667,0.0,1.0,0.09566724338651529
tps 30%.,5,-0.44449467322618574,0.4444946732261858,0.0,0.09566361966808848,13936,19579.8,52.8,0.7714285714285715,0.7666666666666667,0.0,1.0,0.09566361966808848
follow-up -,5,-0.42785290472296056,0.42785290472296056,0.0,0.09565936026974342,13139,19777.6,778.4,0.9428571428571428,0.74,0.0,1.0,0.09565936026974342
feels,5,-0.35366530737372914,0.5557722194263485,0.2,0.11953086752717898,12009,17591.8,212.0,0.7428571428571429,0.8333333333333334,0.0,0.8,0.09562469402174319
seconds,5,-0.4676847231887583,0.5262584757304246,0.2,0.11952922952184256,11150,18312.4,98.4,0.8,0.7333333333333334,0.0,0.8,0.09562338361747405
has maintained,2,-1.0081071349429755,1.0081071349429755,0.0,0.2390468064129003,7631,9852.0,65.5,0.9285714285714286,0.95,0.0,1.0,0.09561872256516012
denies fevers chills,5,0.4206789961061488,0.5430964418835198,0.8,0.11952123361139619,6324,18654.4,117.6,0.7428571428571429,0.7733333333333333,0.0,0.8,0.09561698688911696
call the,5,0.6335773010448822,0.6531704559635897,0.6,0.1593599335830957,4820,17266.0,156.0,0.6571428571428571,0.82,0.0,0.6,0.09561596014985742
by molecular oncology,5,0.31267494985195404,0.5662759230266883,0.8,0.11951823990668964,11607,17380.2,176.8,0.8,0.82,0.0,0.8,0.09561459192535171
copy number,5,-0.19499706746849954,0.6850990530998631,0.4,0.1593560026342986,8853,15139.4,532.0,0.8857142857142858,0.8333333333333334,0.006666666666666666,0.6,0.09561360158057916
membranes moist.,5,-0.4408553816852412,0.4408553816852412,0.0,0.0956047988244575,11685,19756.8,543.2,0.8571428571428571,0.82,0.0,1.0,0.0956047988244575
mucous membranes moist.,5,-0.4408553816852412,0.4408553816852412,0.0,0.0956047988244575,11686,19757.4,543.2,0.8571428571428571,0.82,0.0,1.0,0.0956047988244575
mild exertional,5,-0.4374159448894046,0.5257781400372109,0.2,0.11950094728845721,7559,18008.6,329.6,0.9428571428571428,0.78,0.0,0.8,0.09560075783076577
disease who have,4,0.5077330125452738,0.5077330125452738,1.0,0.11949511523022217,11681,18260.75,64.5,0.9642857142857143,0.8,0.0,1.0,0.09559609218417774
mild grade,5,0.4320331937592082,0.529831071352656,0.8,0.11948136140304308,5178,19113.8,151.2,0.8,0.8,0.0,0.8,0.09558508912243446
no left-sided mediastinal,5,-0.33863218099336356,0.5635731477333491,0.2,0.11948020884812798,10882,17738.6,68.8,0.7714285714285715,0.8,0.0,0.8,0.09558416707850238
c. heent,5,0.020133181365784437,0.673656692346855,0.6,0.159288505892977,4974,15401.0,79.2,1.0,0.8266666666666668,0.006666666666666666,0.6,0.0955731035357862
plt 210,5,-0.38104945150629543,0.6926424665408139,0.4,0.15924825838245749,3087,16590.0,736.0,0.6285714285714286,0.8733333333333334,0.006666666666666666,0.6,0.09554895502947448
45 emotional function,5,-0.43472584154788463,0.43472584154788463,0.0,0.09554543041625192,12390,19904.8,107.2,0.9428571428571428,0.7533333333333333,0.0,1.0,0.09554543041625192
function 45 emotional,5,-0.43472584154788463,0.43472584154788463,0.0,0.09554543041625192,12391,19905.0,107.2,0.9428571428571428,0.7533333333333333,0.0,1.0,0.09554543041625192
138 meq,5,0.38148779292848967,0.7356069317990463,0.6,0.15924078549936285,6737,15113.0,50.4,0.8285714285714285,0.8866666666666667,0.0,0.6,0.09554447129961771
138 meq l,5,0.38148779292848967,0.7356069317990463,0.6,0.15924078549936285,6738,15113.6,50.4,0.8285714285714285,0.8866666666666667,0.0,0.6,0.09554447129961771
homozygous deletion copy-number,5,-0.4352232729345329,0.4352232729345329,0.0,0.09554241205773117,12334,19562.0,140.0,0.8285714285714286,0.7933333333333333,0.0,1.0,0.09554241205773117
mild crackles at,5,-0.6142723875126481,0.6142723875126481,0.0,0.09552560779067196,14083,19468.0,60.0,0.2857142857142857,0.8266666666666668,0.0,1.0,0.09552560779067196
reports persistent,5,0.48476603368028537,0.5193773232656835,0.8,0.11940595210380334,7109,18451.6,188.0,0.9142857142857143,0.7733333333333333,0.0,0.8,0.09552476168304268
cmp creatinine 0.8,5,-0.32998465969143775,0.6609426806943324,0.4,0.15920677828699512,2964,17147.6,105.6,0.7142857142857142,0.7533333333333333,0.013333333333333332,0.6,0.09552406697219706
approved agents,5,-0.407971302037235,0.407971302037235,0.0,0.09552205739294145,6383,20761.2,83.2,0.9714285714285713,0.7133333333333333,0.0,1.0,0.09552205739294145
peripheral sensory neuropathy,5,-0.41415944050458486,0.508273205743232,0.2,0.1193992395540909,4190,19632.0,20.0,0.8285714285714285,0.7466666666666667,0.0,0.8,0.09551939164327272
motion artifact.,5,-0.5009978227892113,0.5225476725758803,0.2,0.11939826549552349,9016,18593.6,277.6,0.7714285714285715,0.78,0.0,0.8,0.09551861239641879
hypertension controlled,5,0.46391499647062096,0.46391499647062096,1.0,0.09551623614110034,13660,19635.0,353.6,0.6285714285714286,0.8133333333333332,0.0,1.0,0.09551623614110034
washout on,5,0.5009885035757073,0.5044560315276381,0.8,0.11938850288244127,4970,20309.6,145.6,0.6857142857142857,0.72,0.0,0.8,0.09551080230595302
3. osseous,3,0.744719855730525,0.744719855730525,1.0,0.1591762267427498,9854,14688.0,58.333333333333336,0.8095238095238094,0.8666666666666667,0.0,1.0,0.0955057360456499
negative no alk,5,0.014465399119963645,0.6769998305374219,0.4,0.1591652922570407,8164,15360.8,158.4,1.0,0.8266666666666665,0.0,0.6,0.09549917535422442
imaging findings,5,-0.05048247009426774,0.6443049891550474,0.6,0.15914856065626165,3460,16824.6,397.6,0.9142857142857143,0.8066666666666666,0.006666666666666666,0.6,0.09548913639375699
l normal alt,5,-0.47057344013095237,0.6510137061691348,0.4,0.1591458509145147,8484,15677.2,71.2,0.9714285714285713,0.8800000000000001,0.0,0.6,0.09548751054870881
stk11 copy-number loss,5,-0.5254363704861577,0.5320946548103939,0.2,0.11933879139749533,8239,19266.4,104.0,0.6571428571428571,0.7266666666666667,0.0,0.8,0.09547103311799626
pain .,5,-0.43213866293611114,0.43213866293611114,0.0,0.09546628045024763,7897,20785.6,175.2,0.5714285714285714,0.76,0.0,1.0,0.09546628045024763
membranes moist. neck,5,-0.4512766439591621,0.4512766439591621,0.0,0.0954630257491251,8593,20345.2,282.4,0.6857142857142857,0.7733333333333333,0.0,1.0,0.0954630257491251
to pursue,5,-0.27921589491615373,0.6616928668111252,0.4,0.15908338500659716,10636,15378.4,92.0,0.9142857142857143,0.8466666666666667,0.0,0.6,0.0954500310039583
metastasis segment,5,-0.4607503196116343,0.4845290466640434,0.2,0.11930514749195376,3955,20018.6,71.2,0.7714285714285715,0.6933333333333334,0.006666666666666666,0.8,0.095444117993563
age 66,5,0.6514920678686671,0.6514920678686671,1.0,0.09543662616034829,12063,19716.2,110.4,0.2,0.8066666666666666,0.0,1.0,0.09543662616034829
pursue,5,-0.27579923576465487,0.6617512427118328,0.4,0.15905529085670705,10558,15374.8,92.0,0.9142857142857143,0.8466666666666667,0.0,0.6,0.09543317451402424
interest and will,5,0.4219413775521673,0.4219413775521673,1.0,0.09542898934835047,11598,19789.2,68.8,0.9428571428571428,0.74,0.0,1.0,0.09542898934835047
2 months,5,-0.30473783431827084,0.6844956437457372,0.4,0.158985562983975,7033,16189.2,416.0,0.7714285714285715,0.7866666666666667,0.0,0.6,0.095391337790385
prn and consider,3,0.6627638098859227,0.6627638098859227,1.0,0.1589769195667944,10067,15412.0,59.666666666666664,1.0,0.8222222222222223,0.0,1.0,0.09538615174007666
lymphadenopathy multiple,5,0.36369670687258804,0.6934975990080419,0.6,0.15897476327984503,8437,15281.8,125.6,0.8857142857142858,0.8,0.0,0.6,0.09538485796790701
demonstrate,5,0.4257032709563446,0.526206988378926,0.8,0.11922750246729016,9431,18249.8,527.2,0.8285714285714285,0.78,0.0,0.8,0.09538200197383213
for symptom management,5,0.3787087514168451,0.5363564273536963,0.8,0.11922030214712043,10305,17958.4,375.2,0.8,0.78,0.006666666666666666,0.8,0.09537624171769635
demonstrated a 5.5,5,0.4736623071904812,0.5381913022120549,0.8,0.11921855973236781,7234,18338.4,52.0,0.8285714285714285,0.7733333333333333,0.0,0.8,0.09537484778589425
1 peripheral neuropathy,5,0.520721860605202,0.5465260087808067,0.8,0.11921470740246351,8007,18475.4,188.8,0.7142857142857142,0.7866666666666667,0.0,0.8,0.09537176592197082
involvement of the,5,0.4695159668694293,0.5371327504809862,0.8,0.11921067936184497,8422,18225.4,98.4,0.8,0.7933333333333333,0.0,0.8,0.09536854348947599
lower lobe consistent,5,0.4934849779656865,0.5084744834991236,0.8,0.1192063377442772,11256,18729.6,73.6,0.9714285714285713,0.74,0.0,0.8,0.09536507019542177
occasional papillary,5,0.5406374054109963,0.6658217857310852,0.6,0.1589242518335837,6113,16149.2,118.4,0.9714285714285713,0.8266666666666665,0.0,0.6,0.09535455110015022
nodes - station,5,-0.5321485180923881,0.535500163229657,0.2,0.11918183373974715,10416,18396.4,67.2,0.6857142857142857,0.8400000000000001,0.0,0.8,0.09534546699179773
first-line systemic,5,-0.23970801935169908,0.5642465435516261,0.2,0.11916936918348961,12355,17877.8,350.4,0.9714285714285713,0.7733333333333333,0.0,0.8,0.0953354953467917
given kras,5,0.4400640549865047,0.4400640549865047,1.0,0.09532922524257127,8337,20890.2,164.8,0.45714285714285713,0.7933333333333333,0.0,1.0,0.09532922524257127
adequate,5,0.2722429308415535,0.5216592401953665,0.8,0.11913576917170118,9473,17979.6,691.2,0.9142857142857143,0.7533333333333333,0.0,0.8,0.09530861533736096
hilar nodal,5,-0.4985634513723932,0.5582391830266124,0.2,0.11912856829068437,9089,18075.4,72.8,0.8571428571428571,0.7866666666666666,0.0,0.8,0.0953028546325475
11.2 g dl,5,0.44452191086078685,0.5620768950254629,0.8,0.1191071989217141,12075,17881.0,204.8,0.7428571428571429,0.7666666666666667,0.006666666666666666,0.8,0.09528575913737129
malignancy stage,5,0.4252685055833929,0.4252685055833929,1.0,0.0952763808526841,11843,19890.8,268.0,0.8,0.7666666666666667,0.0,1.0,0.0952763808526841
